Feature,Importance
previous_loan_defaults_on_file,0.3813802069145142
loan_int_rate,0.14999273230290847
loan_percent_income,0.12211625615282964
person_income,0.10733460875247922
person_home_ownership,0.054488024445511804
loan_amnt,0.04485655210080967
credit_score,0.039630237488723144
loan_intent,0.02943968713898239
person_age,0.019906509587405814
person_emp_exp,0.018373566000444663
cb_person_cred_hist_length,0.016723520527510548
person_education,0.010770184005230441
person_gender,0.0049879145826499
